Company Name;Characteristics;Data Link;Fidelity;Synchronisation;Interfaces;Counterpart;Creation;Purpose;Lifecycle;Capabilities;Data Sources
Heidenhain;Fidelity,Counterpart,Capabilities,Purpose;0;1;0;0;1;0;1;0;1;0
Helbling Technik;Counterpart,Purpose,Capabilities,Lifecycle;0;0;0;0;1;0;1;1;1;0
Hexagon Technology Center;Counterpart,Purpose,Synchronisation,Interfaces,Fidelity,Data Sources;0;1;1;1;1;0;1;0;0;1
Infosys;Counterpart,Synchronisation,Creation;0;0;1;0;1;1;0;0;0;0
Johnson Electric;Counterpart;0;0;0;0;1;0;0;0;0;0
Komax;Fidelity,Counterpart,Capabilities;0;1;0;0;1;0;0;0;1;0
KSB;Counterpart,Data Link,Capabilities,Synchronisation,Interfaces;1;0;1;1;1;0;0;0;1;0
LeanBI;Counterpart,Data Sources,Capabilities,Purpose;0;0;0;0;1;0;1;0;1;1
Lenze;Fidelity,Counterpart,Lifecycle;0;1;0;0;1;0;0;1;0;0
Life Safety Distribution;Purpose,Counterpart,Interfaces;0;0;0;1;1;0;1;0;0;0
Emerson;Counterpart,Fidelity,Capabilities,Data Sources,Interfaces;0;1;0;1;1;0;0;0;1;1
Afry;Creation,Fidelity,Purpose,Data Sources,Capabilities,Counterpart;0;1;0;0;1;1;1;0;1;1
ALSTOM;Counterpart,Capabilities,Lifecycle,Purpose;0;0;0;0;1;0;1;1;1;0
Ramboll;Purpose,Lifecycle,Counterpart;0;0;0;0;1;0;1;1;0;0
Rockwell Automation;Counterpart,Lifecycle,Capabilities,Purpose,Data Sources;0;0;0;0;1;0;1;1;1;1
Schneider Electric;Capabilities,Data Sources,Purpose,Counterpart,Synchronisation,Fidelity,Lifecycle;0;1;1;0;1;0;1;1;1;1
Siemens Energy;Synchronisation,Interfaces,Counterpart,Purpose,Capabilities,Data Sources,Fidelity;0;1;1;1;1;0;1;0;1;1
Siemens Healthcare;Counterpart,Capabilities,Synchronisation,Purpose;0;0;1;0;1;0;1;0;1;0
Siemens Logistics;Capabilities,Counterpart;0;0;0;0;1;0;0;0;1;0
Siemens Mobility;Counterpart,Lifecycle,Capabilities,Purpose;0;0;0;0;1;0;1;1;1;0
WAGO Contact;Data Sources,Fidelity;0;1;0;0;0;0;0;0;0;1
Wandfluh;Interfaces,Counterpart,Data Link,Data Sources;1;0;0;1;1;0;0;0;0;1
Wärtsilä Services;Capabilities,Data Sources,Purpose,Counterpart;0;0;0;0;1;0;1;0;1;1
WinGD;Capabilities,Data Sources,Creation,Lifecycle,Purpose,Counterpart;0;0;0;0;1;1;1;1;1;1
Zühlke;Counterpart,Data Sources,Capabilities,Lifecycle,Purpose;0;0;0;0;1;0;1;1;1;1
Johnson Controls;Counterpart;0;0;0;0;1;0;0;0;0;0
