Company Name;Definition Academic;Uni-directional;Bi-directional;1:1 representation;Sufficient representation;Real-Time;Near-Real-Time;Periodic;H2M;M2M;Only physical;Also non physical;Any distinct entity;Types / Instance distinguished;Counterpart and digital twin are created with a time difference;Performance;Availability;Quality;BoL;MoL;EoL;Automation;Detection;Prevention;Optimization;Prediction;Simulation;Sensors;Internal System;External System
Afry (& Siemens);Counterpart and digital twin are created with a time difference​,1:1 representation,Quality,Performance,Sensors,Simulation,Internal System,Only physical;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0
ALSTOM;Only physical,BoL,Simulation,Performance;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0
Ramboll AG;Performance,MoL,Only physical;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Rockwell Automation Switzerland GmbH;BoL,MoL,EoL,Optimization,Simulation,Performance,Prediction,Sensors,Prevention,Any distinct entity;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;1;1;0;0
Schneider Electric (Schweiz) AG;Real-Time,Prediction,Simulation,1:1 representation,BoL,MoL,Sensors,Also non physical,Performance,Optimization,Internal System;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0
Siemens Energy AG;Optimization,Performance,Also non physical,Prediction,Simulation,Availability,Quality,Near-Real-Time,1:1 representation,H2M,Sensors,Internal System,External System;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1
Siemens Healthcare AG;Any distinct entity,Simulation,Real-Time,Availability,Prediction;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0
Siemens Logistics AG;Simulation,Also non physical;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Siemens Mobility AG;Also non physical,Simulation,BoL,Performance,Quality,MoL,EoL;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0
WAGO Contact SA;Sensors,Sufficient representation;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Wandfluh AG;Only physical,Sensors,Bi-directional,H2M;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Wärtsilä Services Switzerland AG;Prediction,Simulation,External System,Sensors,Optimization,Performance,Also non physical;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1
Winterthur Gas & Diesel AG;Detection,Sensors,Types / Instance distinguished​,Simulation,Performance,Internal System,MoL,Only physical;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;1;1;0
Zühlke Engineering AG;Sensors,Only physical,Detection,BoL,MoL,Optimization,Performance,Availability;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0
Johnson Controls;Any distinct entity;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
